iter	Passed	Remaining
0	44	13167
1	76	11372
2	108	10705
3	158	11754
4	192	11330
5	221	10853
6	253	10590
7	285	10423
8	318	10284
9	353	10265
10	388	10212
11	422	10146
12	456	10084
13	489	10002
14	519	9874
15	553	9826
16	587	9787
17	616	9657
18	646	9556
19	685	9596
20	723	9609
21	766	9684
22	800	9642
23	843	9700
24	877	9652
25	921	9714
26	952	9629
27	981	9538
28	1017	9506
29	1056	9511
30	1090	9462
31	1126	9431
32	1158	9374
33	1194	9348
34	1226	9288
35	1260	9242
36	1292	9188
37	1345	9276
38	1378	9227
39	1413	9186
40	1445	9133
41	1493	9174
42	1526	9121
43	1555	9052
44	1588	8998
45	1621	8954
46	1658	8926
47	1691	8880
48	1731	8867
49	1767	8835
50	1797	8774
51	1837	8763
52	1868	8707
53	1897	8645
54	1937	8632
55	1968	8577
56	2001	8534
57	2037	8500
58	2071	8462
59	2110	8443
60	2143	8399
61	2173	8344
62	2206	8301
63	2244	8277
64	2279	8241
65	2308	8186
66	2341	8144
67	2373	8096
68	2417	8094
69	2448	8045
70	2479	7996
71	2510	7950
72	2541	7901
73	2572	7855
74	2609	7827
75	2647	7803
76	2683	7771
77	2718	7737
78	2750	7695
79	2781	7649
80	2812	7605
81	2847	7570
82	2877	7524
83	2912	7490
84	2948	7458
85	2982	7420
86	3014	7380
87	3051	7350
88	3079	7300
89	3119	7279
90	3148	7230
91	3180	7191
92	3213	7152
93	3247	7116
94	3279	7077
95	3316	7048
96	3350	7011
97	3392	6991
98	3424	6953
99	3462	6925
100	3493	6883
101	3526	6845
102	3571	6830
103	3600	6785
104	3632	6745
105	3670	6718
106	3700	6674
107	3743	6654
108	3774	6613
109	3803	6569
110	3844	6545
111	3876	6506
112	3915	6480
113	3950	6445
114	3985	6411
115	4014	6368
116	4049	6333
117	4080	6293
118	4111	6253
119	4144	6217
120	4180	6184
121	4210	6142
122	4238	6099
123	4269	6060
124	4302	6022
125	4337	5989
126	4375	5960
127	4412	5929
128	4448	5897
129	4481	5859
130	4514	5824
131	4549	5789
132	4581	5753
133	4620	5723
134	4648	5681
135	4680	5644
136	4717	5613
137	4753	5579
138	4851	5618
139	4933	5638
140	4992	5629
141	5048	5617
142	5119	5621
143	5182	5614
144	5246	5607
145	5309	5599
146	5365	5584
147	5424	5571
148	5495	5569
149	5564	5564
150	5630	5555
151	5685	5536
152	5740	5515
153	5807	5505
154	5874	5495
155	5932	5476
156	6001	5466
157	6061	5447
158	6119	5426
159	6178	5406
160	6244	5391
161	6311	5376
162	6376	5359
163	6438	5338
164	6503	5321
165	6569	5303
166	6631	5281
167	6694	5260
168	6753	5234
169	6818	5214
170	6884	5193
171	6942	5166
172	7001	5139
173	7073	5122
174	7136	5097
175	7192	5067
176	7250	5038
177	7309	5009
178	7365	4979
179	7429	4952
180	7494	4927
181	7566	4905
182	7618	4870
183	7683	4843
184	7754	4820
185	7816	4790
186	7898	4772
187	7949	4735
188	8015	4707
189	8068	4671
190	8138	4644
191	8169	4595
192	8202	4547
193	8237	4500
194	8270	4453
195	8300	4404
196	8343	4362
197	8384	4319
198	8414	4270
199	8446	4223
200	8476	4175
201	8513	4130
202	8547	4084
203	8578	4036
204	8614	3991
205	8647	3945
206	8681	3900
207	8711	3853
208	8750	3810
209	8788	3766
210	8822	3721
211	8859	3677
212	8892	3632
213	8923	3586
214	8957	3541
215	8992	3497
216	9022	3451
217	9069	3411
218	9100	3365
219	9128	3319
220	9163	3275
221	9196	3231
222	9237	3189
223	9280	3148
224	9317	3105
225	9352	3062
226	9384	3017
227	9421	2975
228	9467	2935
229	9499	2891
230	9529	2846
231	9564	2803
232	9598	2759
233	9636	2717
234	9671	2675
235	9706	2632
236	9746	2590
237	9780	2547
238	9816	2505
239	9858	2464
240	9889	2421
241	9927	2379
242	9962	2336
243	10002	2295
244	10036	2253
245	10071	2210
246	10102	2167
247	10138	2125
248	10175	2084
249	10214	2042
250	10250	2001
251	10284	1958
252	10320	1917
253	10354	1875
254	10389	1833
255	10427	1792
256	10457	1749
257	10493	1708
258	10530	1667
259	10561	1624
260	10600	1583
261	10634	1542
262	10666	1500
263	10700	1459
264	10730	1417
265	10761	1375
266	10800	1334
267	10837	1294
268	10876	1253
269	10907	1211
270	10937	1170
271	10970	1129
272	10999	1087
273	11032	1046
274	11064	1005
275	11099	965
276	11139	924
277	11173	884
278	11209	843
279	11242	803
280	11283	762
281	11315	722
282	11359	682
283	11389	641
284	11421	601
285	11453	560
286	11491	520
287	11530	480
288	11570	440
289	11599	399
290	11632	359
291	11663	319
292	11696	279
293	11729	239
294	11763	199
295	11800	159
296	11829	119
297	11868	79
298	11901	39
299	11938	0
